country_name,year,GDP (Current USD),GDP per Capita (Current USD),GDP Growth (% Annual),Unemployment Rate (%),Inflation (CPI %)
Argentina,2023,648895000000.0,13908.489,-1.9,6.1,133.5
Argentina,2024,637234000000.0,13538.693,-1.3,7.2,219.9
Argentina,2025,681485000000.0,14354.988,4.4,7.4,41.9
Bolivia,2023,52722000000.0,4305.865,2.5,4.1,2.6
Bolivia,2024,55281000000.0,4453.39,-1.1,3.7,5.1
Bolivia,2025,64250000000.0,5106.53,-1.2,3.3,19.5
Brazil,2023,2191137000000.0,10350.437,3.2,8.0,4.6
Brazil,2024,2185822000000.0,10282.171,3.4,6.9,4.4
Brazil,2025,2279918000000.0,10685.689,2.3,6.0,5.0
Chile,2023,335627000000.0,16988.274,0.5,8.7,7.6
Chile,2024,330210000000.0,16589.838,2.6,8.5,3.9
Chile,2025,355346000000.0,17734.761,2.3,8.5,4.2
Colombia,2023,366901000000.0,7026.609,0.8,10.0,11.7
Colombia,2024,420504000000.0,7979.809,1.5,9.1,6.6
Colombia,2025,457410000000.0,8622.574,2.6,8.0,5.1
Ecuador,2023,120793000000.0,6772.859,1.8,3.6,2.2
Ecuador,2024,123802000000.0,6890.706,-1.9,3.4,1.5
Ecuador,2025,130321000000.0,7198.575,3.7,3.1,0.7
Peru,2023,272755000000.0,8086.186,-0.4,6.8,6.3
Peru,2024,295220000000.0,8665.536,3.5,6.4,2.4
Peru,2025,341025000000.0,9910.942,3.4,5.9,1.5
Uruguay,2023,79214000000.0,22655.825,0.8,8.3,5.9
Uruguay,2024,82323000000.0,23576.271,3.3,8.2,4.8
Uruguay,2025,,,,7.5,4.7
